Scheme,NAV
ICICI Prudential Value Fund - Series 7 Dividend Option,10.51
ICICI Prudential Value Fund - Series 8 Direct Plan Dividend Option,10.88
ICICI Prudential Value Fund - Series 8 Dividend Option,10.17
ICICI Prudential Value Fund - Series 9 - Cumulative Option,12.27
ICICI Prudential Value Fund - Series 9 - Direct Plan - Cumulative Option,12.6
ICICI Prudential Value Fund - Series 9 - Direct Plan - Dividend Option,10.85
ICICI Prudential Value Fund - Series 9 - Dividend Option,10.53
IDFC Mutual Fund,
IDFC Equity Opportunity - Series 4 (1102 Days) - Direct Plan - Dividend,7.64549217
IDFC Equity Opportunity - Series 4 (1102 Days) - Direct Plan - Growth,7.64549029
IDFC Equity Opportunity - Series 4 (1102 Days) - Regular Plan - Dividend,7.29012814
IDFC Equity Opportunity - Series 4 (1102 Days) - Regular Plan - Growth,7.2901281
IDFC Equity Opportunity Fund - Series 5 (36 Months) Direct Dividend,13.02785434
IDFC Equity Opportunity Fund - Series 5 (36 Months) Direct Growth,13.0278648
IDFC Equity Opportunity Fund - Series 5 (36 Months) Regular Dividend,12.47662195
IDFC Equity Opportunity Fund - Series 5 (36 Months) Regular Growth,12.47662059
IDFC Equity Opportunity - Series 6 (1194 DAYS)-Direct Plan Growth,18.59621047
IDFC Equity Opportunity - Series 6 (1194 DAYS)-Direct Plan IDCW,18.59594274
IDFC Equity Opportunity - Series 6 (1194 DAYS)-Regular Plan Growth,18.00584724
IDFC Equity Opportunity - Series 6 (1194 DAYS)-Regular Plan IDCW,18.00600688
Kotak Mahindra Mutual Fund,
Kotak India Gorwth Fund - Series I - Direct Plan - Dividend,11.21277657
Kotak India Gorwth Fund - Series I - Direct Plan - Growth,13.27862178
Kotak India Gorwth Fund - Series I - Regular Plan - Dividend,11.00627096
Kotak India Gorwth Fund - Series I - Regular Plan - Growth,13.07073144
Kotak India Growth Fund Series 4 - Regular Plan- Growth option,19.102
Kotak India Growth Fund Series 4-Direct Plan - Growth Option,19.904
Kotak India Growth Fund Series 4-Direct Plan-ayout of Income Distribution cum capital withdrawal option,19.768
Kotak India Growth Fund Series 4-Regular Plan-ayout of Income Distribution cum capital withdrawal option,19.103
Kotak India Growth Fund Series 5-Direct PLan-ayout of Income Distribution cum capital withdrawal option,14.74284682
Kotak India Growth Fund Series 5-Direct Plan-Growth Option,14.74283395
Kotak India Growth Fund Series 5-Regular Plan-ayout of Income Distribution cum capital withdrawal option,14.6365481
Kotak India Growth Fund Series 5-Regular Plan-Growth Option,14.63654539
Kotak India Growth Fund Series 7 - Direct Plan - Growth Option,15.09747791
Kotak India Growth Fund Series 7 - Regular Plan - ayout of Income Distribution cum capital withdrawal option,14.61685259
Kotak India Growth Fund Series 7 - Regular Plan - Growth Option,14.61685271
Kotak India Growth Fund Series 7 -Direct Plan-ayout of Income Distribution cum capital withdrawal option,15.09752459
Nippon India Mutual Fund,
Nippon India Capital Builder Fund IV - Series B - Direct Plan - Growth Option,13.2173
NIPPON INDIA CAPITAL BUILDER FUND IV - SERIES B - DIRECT Plan - IDCW Option,13.2173
Nippon India Capital Builder Fund IV - Series B - Growth Option,12.7633
NIPPON INDIA CAPITAL BUILDER FUND IV - SERIES B - IDCW Option,12.7633
Nippon India Capital Builder Fund IV- Series A- Direct Plan-Dividend Payout Option,10.327
Nippon India Capital Builder Fund IV- Series A- Direct Plan-Growth Option,10.327
Nippon India Capital Builder Fund IV- Series A- Dividend Payout Option,10.0452
Nippon India Capital Builder Fund IV- Series A- Growth Option,10.0452
Nippon India Capital Builder Fund IV- Series C- Direct Plan-Dividend Payout Option,11.4785
Nippon India Capital Builder Fund IV- Series C- Direct Plan-Growth Option,11.4785
Nippon India Capital Builder Fund IV- Series C- Dividend Payout Option,11.1685
Nippon India Capital Builder Fund IV- Series C- Growth Option,11.1685
Nippon India Capital Builder Fund IV- Series D- Direct Plan- Growth Option,10.6411
Nippon India Capital Builder Fund IV- Series D- Direct Plan-Dividend Payout Option,10.6411
Nippon India Capital Builder Fund IV- Series D- Dividend Payout Option,10.3583
Nippon India Capital Builder Fund IV- Series D- Growth Option,10.3583
NIPPON INDIA FIXED HORIZON FUND - XXXVI - SERIES 1 - DIRECT Plan - IDCW Option,10
NIPPON INDIA FIXED HORIZON FUND - XXXVI - SERIES 1 - IDCW Option,10
Nippon India Fixed Horizon Fund XXXVI- Series 1- Direct Plan-Growth Option,12.6864
Nippon India Fixed Horizon Fund XXXVI- Series 1- Growth Option,12.644
NIPPON INDIA - INDIA OPPORTUNITIES FUND - SERIES A - DIRECT Plan - IDCW Option,16.2898
NIPPON INDIA - INDIA OPPORTUNITIES FUND - SERIES A - IDCW Option,15.7893
Nippon India India Opportunities Fund - Series A - Direct Plan - Growth Option,16.2898
Nippon India India Opportunities Fund - Series A - Growth Option,15.7893
Reliance Capital Builder Fund II - Series B - Direct Plan - Dividend Payout Option,13.8329
Reliance Capital Builder Fund II - Series B - Direct Plan - Growth Option,13.8329
Reliance Capital Builder Fund II - Series B - Dividend Payout Option,13.0421
Reliance Capital Builder Fund II - Series B - Growth Option,13.0421
Reliance Capital Builder Fund II - Series C - Direct Plan - Dividend Payout Option,12.5434
Reliance Capital Builder Fund II - Series C - Direct Plan - Growth Option,12.5434
Reliance Capital Builder Fund II - Series C - Dividend Payout Option,12.1517
Reliance Capital Builder Fund II - Series C - Growth Option,12.1517
Reliance Capital Builder Fund II- Series A- Direct Plan-Dividend Payout Option,10
Reliance Capital Builder Fund II- Series A- Direct Plan-Growth Option,14.5494
Reliance Capital Builder Fund II- Series A- Dividend Payout Option,10
Reliance Capital Builder Fund II- Series A- Growth Option,14.2989
Reliance Capital Builder Fund III - Series A - Direct Plan - Dividend Payout Option,12.0184
Reliance Capital Builder Fund III - Series A - Direct Plan - Growth Option,13.3166
Reliance Capital Builder Fund III - Series A - Dividend Payout Option,11.5589
Reliance Capital Builder Fund III - Series A - Growth Option,12.8527
Reliance Capital Builder Fund- Series A- Direct Plan- Dividend Payout Opotion,17.9036
Reliance Capital Builder Fund- Series A- Direct Plan- Growth Option,17.9036
Reliance Capital Builder Fund- Series A- Dividend Payout Option,17.4611
Reliance Capital Builder Fund- Series A- Growth Option,17.4611
Reliance Capital Builder Fund- Series B- Direct Plan- Dividend Payout Option,13.8255
Reliance Capital Builder Fund- Series B- Direct Plan- Growth Opiton,13.8255
Reliance Capital Builder Fund- Series B- Dividend Payout Option,13.2339
Reliance Capital Builder Fund- Series B- Growth Option,13.2339
Reliance Capital Builder Fund- Series C- Direct Plan- Dividend Payout Option,14.4939
Reliance Capital Builder Fund- Series C- Direct Plan- Growth Option,14.4939
Reliance Capital Builder Fund- Series C- Dividend Payout Option,13.8573
Reliance Capital Builder Fund- Series C- Growth Option,13.8573
Reliance Close Ended Equity Fund - Series A - Direct Plan - Dividend Payout Option,12.2273
Reliance Close Ended Equity Fund - Series A - Direct Plan - Growth Option,23.8241
Reliance Close Ended Equity Fund - Series A - Dividend Payout Option,11.2608
Reliance Close Ended Equity Fund - Series A - Growth Option,22.6688
Reliance Close Ended Equity Fund - Series B - Direct Plan - Dividend Payout Option,12.2564
Reliance Close Ended Equity Fund - Series B - Direct Plan - Growth Option,23.8837
Reliance Close Ended Equity Fund - Series B - Dividend Payout Option,11.2518
Reliance Close Ended Equity Fund - Series B - Growth Option,22.652
Reliance Close Ended Equity Fund II- Series A- Direct Plan- Dividend Payout Option,13.6958
Reliance Close Ended Equity Fund II- Series A- Direct Plan- Growth Option,19.3301
Reliance Close Ended Equity Fund II- Series A- Dividend Payout Option,12.9136
Reliance Close Ended Equity Fund II- Series A- Growth Option,18.5052
SBI Mutual Fund,
SBI EQUITY OPPORTUNITIES FUND -SERIES IV - REGULAR PLAN - GROWTH,25.8789
SBI EQUITY OPPORTUNITIES FUND - SERIES IV - DIRECT PLAN - GROWTH,27.4317
SBI Equity Opportunities Fund-Series IV - Direct Plan - Income Distribution cum Capital Withdrawal Option (IDCW),23.3145
SBI Equity Opportunities Fund-Series IV - Regular Plan - Income Distribution cum Capital Withdrawal Option (IDCW),21.958
Sundaram Mutual Fund,
Sundaram Emerging Small Cap Series I Direct Plan - Growth,15.6849
Sundaram Emerging Small Cap Series I Direct Plan - Payout of Income Distribution cum Capital Withdrawal (IDCW),15.6849
Sundaram Emerging Small Cap Series I Regular Plan - Growth,15.2821
Sundaram Emerging Small Cap Series I Regular Plan - Payout of Income Distribution cum Capital Withdrawal (IDCW),15.2821
Sundaram Emerging Small Cap Series II Direct Plan - Growth,16.0426
Sundaram Emerging Small Cap Series II Direct Plan - Payout of Income Distribution cum Capital Withdrawal (IDCW),16.0426
Sundaram Emerging Small Cap Series II Regular Plan - Growth,15.471
Sundaram Emerging Small Cap Series II Regular Plan - Payout of Income Distribution cum Capital Withdrawal (IDCW),15.471
Sundaram Emerging Small Cap Series III Direct Plan - Growth,17.7991
Sundaram Emerging Small Cap Series III Direct Plan - Payout of Income Distribution cum Capital Withdrawal (IDCW),17.4723
Sundaram Emerging Small Cap Series III Regular Plan - Growth,17.2977
Sundaram Emerging Small Cap Series III Regular Plan - Payout of Income Distribution cum Capital Withdrawal (IDCW),16.9718
Sundaram Emerging Small Cap Series IV Direct Plan - Growth,18.2539
Sundaram Emerging Small Cap Series IV Direct Plan - Payout of Income Distribution cum Capital Withdrawal (IDCW),17.6025
Sundaram Emerging Small Cap Series IV Regular Plan - Growth,17.7335
Sundaram Emerging Small Cap Series IV Regular Plan - Payout of Income Distribution cum Capital Withdrawal (IDCW),17.0842
Sundaram Emerging Small Cap Series V Direct Plan - Growth,18.3563
Sundaram Emerging Small Cap Series V Direct Plan - Payout of Income Distribution cum Capital Withdrawal (IDCW),17.7036
Sundaram Emerging Small Cap Series V Regular Plan - Growth,17.9976
Sundaram Emerging Small Cap Series V Regular Plan - Payout of Income Distribution cum Capital Withdrawal (IDCW),17.3467
Sundaram Emerging Small Cap Series VI Direct Plan - Growth,20.6608
Sundaram Emerging Small Cap Series VI Direct Plan - Payout of Income Distribution cum Capital Withdrawal (IDCW),19.3688
Sundaram Emerging Small Cap Series VI Regular Plan - Growth,20.2988
Sundaram Emerging Small Cap Series VI Regular Plan - Payout of Income Distribution cum Capital Withdrawal (IDCW),19.0105
Sundaram Emerging Small Cap Series VII Direct Plan - Payout of Income Distribution cum Capital Withdrawal (IDCW),18.9084
Sundaram Emerging Small Cap Series VII Regular Plan - Growth,19.847
Sundaram Emerging Small Cap Series VII Regular Plan - Payout of Income Distribution cum Capital Withdrawal (IDCW),18.6127
Sundaram Emerging Small Cap VII Direct Plan - Growth,20.1453
Sundaram Multi Cap Fund Series I Direct Plan - Growth,17.3526
Sundaram Multi Cap Fund Series I Direct Plan - Payout of Income Distribution cum Capital Withdrawal (IDCW),16.5048
Sundaram Multi Cap Fund Series I Regular Plan - Growth,17.0138
Sundaram Multi Cap Fund Series I Regular Plan - Payout of Income Distribution cum Capital Withdrawal (IDCW),16.3683
Sundaram Multi Cap Fund Series II Direct Plan - Growth,17.3508
Sundaram Multi Cap Fund Series II Direct Plan - Payout of Income Distribution cum Capital Withdrawal (IDCW),16.5135
Sundaram Multi Cap Fund Series II Regular Plan - Growth,17.0004
Sundaram Multi Cap Fund Series II Regular Plan - Payout of Income Distribution cum Capital Withdrawal (IDCW),16.3655
Sundaram Select Micro Cap Series XIV Direct Plan - Growth,16.7802
Sundaram Select Micro Cap Series XIV Direct Plan - Payout of Income Distribution cum Capital Withdrawal (IDCW),16.7802
Sundaram Select Micro Cap Series XIV Regular Plan - Growth,16.3107
Sundaram Select Micro Cap Series XIV Regular Plan - Payout of Income Distribution cum Capital Withdrawal (IDCW),16.3107
Sundaram Select Micro Cap Series XV Direct Plan - Growth,16.202
Sundaram Select Micro Cap Series XV Direct Plan - Payout of Income Distribution cum Capital Withdrawal (IDCW),16.2019
Sundaram Select Micro Cap Series XV Regular Plan - Growth,15.6257
Sundaram Select Micro Cap Series XV Regular Plan - Payout of Income Distribution cum Capital Withdrawal (IDCW),15.6258
Sundaram Select Micro Cap Series XVI Direct Plan - Growth,15.6587
Sundaram Select Micro Cap Series XVI Direct Plan - Payout of Income Distribution cum Capital Withdrawal (IDCW),15.6587
Sundaram Select Micro Cap Series XVI Regular Plan - Growth,15.276
Sundaram Select Micro Cap Series XVI Regular Plan - Payout of Income Distribution cum Capital Withdrawal (IDCW),15.276
Sundaram Select Micro Cap Series XVII Direct Plan - Growth,15.0199
Sundaram Select Micro Cap Series XVII Direct Plan - Payout of Income Distribution cum Capital Withdrawal (IDCW),15.0199
Sundaram Select Micro Cap Series XVII Regular Plan - Growth,14.4606
Sundaram Select Micro Cap Series XVII Regular Plan - Payout of Income Distribution cum Capital Withdrawal (IDCW),14.4606
Sundaram Value Fund Series IX Direct Plan - Growth,17.353
Sundaram Value Fund Series IX Direct Plan - Payout of Income Distribution cum Capital Withdrawal (IDCW),15.0808
Sundaram Value Fund Series IX Regular Plan - Growth,16.6497
Sundaram Value Fund Series IX Regular Plan - Payout of Income Distribution cum Capital Withdrawal (IDCW),14.8789
Sundaram Value Fund Series VII Direct Plan - Growth,15.4322
Sundaram Value Fund Series VII Direct Plan - Payout of Income Distribution cum Capital Withdrawal (IDCW),14.2989
Sundaram Value Fund Series VII Regular Plan - Growth,14.9776
Sundaram Value Fund Series VII Regular Plan - Payout of Income Distribution cum Capital Withdrawal (IDCW),14.1686
Sundaram Value Fund Series X Direct Plan - Growth,17.1857
Sundaram Value Fund Series X Direct Plan - Payout of Income Distribution cum Capital Withdrawal (IDCW),15.0476
Sundaram Value Fund Series X Regular Plan - Growth,16.5293
Sundaram Value Fund Series X Regular Plan - Payout of Income Distribution cum Capital Withdrawal (IDCW),14.8591
Tata Mutual Fund,
TATA Value Fund - Series1Direct Plan - Payout of Income Distribution cum capital withdrawal option,14.1405
TATA Value Fund - Series1Regular Plan - Payout of Income Distribution cum capital withdrawal option,13.5486
Tata Value Fund Series 1 Direct Plan Growth,14.1405
Tata Value Fund Series 1 Regular Plan Growth,13.5486
TATA Value Fund - Series2 Direct Plan - Payout of Income Distribution cum capital withdrawal option,13.5796
TATA Value Fund - Series2 Regular Plan - Payout of Income Distribution cum capital withdrawal option,12.9879
Tata Value Fund Series 2 -Direct Plan-Growth,13.5796
Tata Value Fund Series 2 -Regular Plan-Growth,12.9879
UTI Mutual Fund,
UTI Focussed Equity Fund Series - 1 (2195 Days) - Direct Plan - Dividend Option,14.205
UTI Focussed Equity Fund Series - 1 (2195 Days) - Direct Plan - Growth Option,15.3687
UTI Focussed Equity Fund Series - 1 (2195 Days) - Regular Plan - Dividend Option,13.2056
UTI Focussed Equity Fund Series - 1 (2195 Days) - Regular Plan - Growth Option,14.3308
UTI Focussed Equity Fund - Series IV (1104 Days) - Direct Plan - DividendOption,10.6409
UTI Focussed Equity Fund - Series IV (1104 Days) - Direct Plan - Growth Option,10.6409
UTI Focussed Equity Fund - Series IV (1104 Days) - Regular Plan - Dividend Option,10.2531
UTI Focussed Equity Fund - Series IV (1104 Days) - Regular Plan - Growth Option,10.253
UTI Focussed Equity Fund - Series V (1102 Days) - Direct Plan - Dividend Option,11.8178
UTI Focussed Equity Fund - Series V (1102 Days) - Direct Plan - Growth Option,11.8178
UTI Focussed Equity Fund - Series V (1102 Days) - Regular Plan - Dividend Option,11.3617
UTI Focussed Equity Fund - Series V (1102 Days) - Regular Plan - Growth Option,11.3617
UTI Focussed Equity Fund - Series VI (1150 Days) - Direct Plan - Growth Option,13.7253
UTI Focussed Equity Fund - Series VI (1150 Days) - Direct Plan - IDCW,13.7253
UTI Focussed Equity Fund - Series VI (1150 Days) - Regular Plan - Growth Option,13.2169
UTI Focussed Equity Fund - Series VI (1150 Days) - Regular Plan - IDCW,13.2169
UTI Long Term Advantage Fund Series VII - Direct Plan - Growth Option,13.1836
UTI Long Term Advantage Fund Series VII - Direct Plan - IDCW,13.1836
UTI Long Term Advantage Fund Series VII - Regular Plan - Growth Option,12.737
UTI Long Term Advantage Fund Series VII - Regular Plan - IDCW,12.737
Close Ended Schemes (Income),
Aditya Birla Sun Life Mutual Fund,
Aditya Birla Sun Life Dual Advantage Fund - Series 2 - Direct - IDCW,13.4615
Aditya Birla Sun Life Dual Advantage Fund - Series 2 - Regular - IDCW,13.1863
Aditya Birla Sun Life Dual Advantage Fund - Series 2 - Regular Plan - Growth,13.1863
Aditya Birla Sun Life Dual Advantage Fund- Series 2 - Direct Plan - Growth,13.4615
Aditya Birla Sun Life Fixed Term Plan - Series PU (1463 days) - Direct Plan-Growth,13.4582
Aditya Birla Sun Life Fixed Term Plan - Series PU (1463 days) - Regular Plan-Growth,13.3669
Aditya Birla Sun Life Fixed Term Plan - Series PU (1463 days) -Direct - Normal IDCW,13.4576
Aditya Birla Sun Life Fixed Term Plan - Series PU (1463 days) -Direct - Quarterly IDCW,11.1603
Aditya Birla Sun Life Fixed Term Plan - Series PU (1463 days) -Regular -Normal IDCW,13.3669
Aditya Birla Sun Life Fixed Term Plan - Series PU (1463 days) -Regular -Quarterly IDCW,11.1336
Aditya Birla Sun Life Fixed Term Plan - Series PV (1462 days) - Direct Plan-Growth,13.4683
Aditya Birla Sun Life Fixed Term Plan - Series PV (1462 days) - Regular Plan-Growth,13.3786
Aditya Birla Sun Life Fixed Term Plan - Series PV (1462 days) -Direct - Normal IDCW,13.4696
Aditya Birla Sun Life Fixed Term Plan - Series PV (1462 days) -Direct - Quarterly IDCW,11.1403
Aditya Birla Sun Life Fixed Term Plan - Series PV (1462 days) -Regular -Normal IDCW,13.3785
Aditya Birla Sun Life Fixed Term Plan - Series PV (1462 days) -Regular -Quarterly IDCW,11.1077
Aditya Birla Sun Life Fixed Term Plan - Series PY (1409 days) - Direct Plan-Growth,13.329
Aditya Birla Sun Life Fixed Term Plan - Series PY (1409 days) - Regular Plan-Growth,13.2383
Aditya Birla Sun Life Fixed Term Plan - Series PY (1409 days) -Direct - Normal IDCW,13.3651
Aditya Birla Sun Life Fixed Term Plan - Series PY (1409 days) -Direct - Quarterly IDCW,11.0332
Aditya Birla Sun Life Fixed Term Plan - Series QF (1385 days) - Direct Plan-Growth,13.3295
Aditya Birla Sun Life Fixed Term Plan - Series QF (1385 days) - Regular Plan-Growth,13.2324
Aditya Birla Sun Life Fixed Term Plan - Series QF (1385 days) -\Regular -Quarterly IDCW,11.0929
Aditya Birla Sun Life Fixed Term Plan - Series QF (1385 days) -Direct - Quarterly IDCW,11.1147
Aditya Birla Sun Life Fixed Term Plan - Series QF (1385 days) -Regular -Normal IDCW,13.2317
Aditya Birla Sun Life Fixed Term Plan - Series QR (1126 days) - Direct Plan-Growth,12.6102
Aditya Birla Sun Life Fixed Term Plan - Series QR (1126 days) - Regular Plan-Growth,12.4987
Aditya Birla Sun Life Fixed Term Plan - Series QR (1126 days) -Direct - Normal IDCW,10
Aditya Birla Sun Life Fixed Term Plan - Series QR (1126 days) -Direct - Quarterly IDCW,10
Aditya Birla Sun Life Fixed Term Plan - Series QR (1126 days) -Regular -Normal IDCW,10
Aditya Birla Sun Life Fixed Term Plan - Series QR (1126 days) -Regular -Quarterly IDCW,10
Aditya Birla Sun Life Fixed Term Plan - Series RC (1295 days) - Direct - Normal IDCW,12.8957
Aditya Birla Sun Life Fixed Term Plan - Series RC (1295 days) - Direct - Quarterly IDCW,10.9474
Aditya Birla Sun Life Fixed Term Plan - Series RC (1295 days) - Direct Plan - Growth,12.8966
Aditya Birla Sun Life Fixed Term Plan - Series RC (1295 days) - Regular -Normal IDCW,12.7951
Aditya Birla Sun Life Fixed Term Plan - Series RC (1295 days) - Regular -Quarterly IDCW,10.9095
Aditya Birla Sun Life Fixed Term Plan - Series RC (1295 days) - Regular Plan-Growth,12.795
Aditya Birla Sun Life Fixed Term Plan- Series RD (1293 days)-Direct Plan-Growth,12.8927
Aditya Birla Sun Life Fixed Term Plan-Series RD (1293 days)-Direct - Normal IDCW,12.8927
Aditya Birla Sun Life Fixed Term Plan-Series RD (1293 days)-Regular -Normal IDCW,12.7921
Aditya Birla Sun Life Fixed Term Plan-Series RD (1293 days)-Regular -Quarterly IDCW,10.9708
Aditya Birla Sun Life Fixed Term Plan-Series RD (1293 days)-Regular Plan-Growth,12.7916
Aditya Birla Sun Life Fixed Term Plan - Series RH (1281 days) - Direct - Normal IDCW,12.8264
Aditya Birla Sun Life Fixed Term Plan - Series RH (1281 days) - Direct - Quarterly IDCW,10.9711
Aditya Birla Sun Life Fixed Term Plan - Series RH (1281 days) - Direct Plan - Growth,12.8157
Aditya Birla Sun Life Fixed Term Plan - Series RH (1281 days) - Regular -Normal IDCW,12.7198
Aditya Birla Sun Life Fixed Term Plan - Series RH (1281 days) - Regular -Quarterly IDCW,10.9329
Aditya Birla Sun Life Fixed Term Plan - Series RH (1281 days) - Regular Plan-Growth,12.7198
Aditya Birla Sun Life Fixed Term Plan - Series RI (1100 days) - Direct - Payout of IDCW,10
Aditya Birla Sun Life Fixed Term Plan - Series RI (1100 days) - Direct Plan-Growth,12.4409
Aditya Birla Sun Life Fixed Term Plan - Series RI (1100 days) - Regular - Payout of IDCW,10
Aditya Birla Sun Life Fixed Term Plan - Series RI (1100 days) - Regular Plan-Growth,12.3353
Aditya Birla Sun Life Fixed Term Plan - Series RL (1254 days) - Direct Plan-Growth,12.7831
Aditya Birla Sun Life Fixed Term Plan - Series RL (1254 days) - Regular Plan-Growth,12.6847
Aditya Birla Sun Life Fixed Term Plan - Series RL (1254 days) -Regular - Payout of IDCW,12.6848
Aditya Birla Sun Life Fixed Term Plan - Series RN (1240 days) - Direct - Payout of IDCW,12.7839
Aditya Birla Sun Life Fixed Term Plan - Series RN (1240 days) - Direct Plan-Growth,12.7839
Aditya Birla Sun Life Fixed Term Plan - Series RN (1240 days) - Regular - Payout of IDCW,12.6881
Aditya Birla Sun Life Fixed Term Plan - Series RN (1240 days) - Regular Plan-Growth,12.6882
Aditya Birla Sun Life Fixed Term Plan - Series RO (1241 days) - Direct Plan-Growth,12.7914
Aditya Birla Sun Life Fixed Term Plan - Series RO (1241 days) - Regular - Payout of IDCW,12.7018
Aditya Birla Sun Life Fixed Term Plan - Series RO (1241 days) - Regular Plan-Growth,12.7016
Aditya Birla Sun Life Fixed Term Plan - Series RP (1239 days) - Direct - Payout of IDCW,12.9136
Aditya Birla Sun Life Fixed Term Plan - Series RP (1239 days) - Direct Plan-Growth,12.9114
Aditya Birla Sun Life Fixed Term Plan - Series RP (1239 days) - Regular - Payout of IDCW,12.8717
Aditya Birla Sun Life Fixed Term Plan - Series RP (1239 days) - Regular Plan-Growth,12.8728
Aditya Birla Sun Life Fixed Term Plan - Series RQ (1103 days) - Direct Plan-Growth,12.2596
Aditya Birla Sun Life Fixed Term Plan - Series RQ (1103 days) - Regular Plan-Growth,12.1694
Aditya Birla Sun Life Fixed Term Plan - Series RQ (1103 days) Direct - Payout of IDCW,12.2598
Aditya Birla Sun Life Fixed Term Plan - Series RQ (1103 days) Regular - Payout of IDCW,12.1686
Aditya Birla Sun Life Fixed Term Plan - Series RR (1240 days) -Direct - Payout of IDCW,12.7937
Aditya Birla Sun Life Fixed Term Plan - Series RR (1240 days) -Regular - Payout of IDCW,12.7005
Aditya Birla Sun Life Fixed Term Plan - Series RR (1240 days) - Direct Plan-Growth,12.7928
Aditya Birla Sun Life Fixed Term Plan - Series RR (1240 days) - Regular Plan-Growth,12.7005
Aditya Birla Sun Life Fixed Term Plan - Series RU (1225 days) - Direct Plan-Growth,12.7461
Aditya Birla Sun Life Fixed Term Plan - Series RU (1225 days) - Regular Plan-Growth,12.6542
Aditya Birla Sun Life Fixed Term Plan - Series RU (1225 days) -Direct - Payout of IDCW,12.7237
Aditya Birla Sun Life Fixed Term Plan - Series RU (1225 days) -Regular - Payout of IDCW,12.6541
Aditya Birla Sun Life Fixed Term Plan - Series RV (1224 days) - Direct Plan-Growth,12.7275
Aditya Birla Sun Life Fixed Term Plan - Series RV (1224 days) - Regular Plan-Growth,12.6388
Aditya Birla Sun Life Fixed Term Plan - Series RV (1224 days) -Direct - Payout of IDCW,12.7275
Aditya Birla Sun Life Fixed Term Plan - Series RV (1224 days) -Regular - Payout of IDCW,12.638
Aditya Birla Sun Life Fixed Term Plan - Series RW (1202 days) - Direct - Payout of IDCW,12.717
Aditya Birla Sun Life Fixed Term Plan - Series RW (1202 days) - Direct Plan-Growth,12.717
Aditya Birla Sun Life Fixed Term Plan - Series RW (1202 days) - Regular Plan-Growth,12.6423
Aditya Birla Sun Life Fixed Term Plan - Series RX (1200 days) - Direct - IDCW,12.4999
Aditya Birla Sun Life Fixed Term Plan - Series RX (1200 days) - Direct Plan-Growth,12.4808
Aditya Birla Sun Life Fixed Term Plan - Series RX (1200 days) - Regular - Payout of IDCW,12.3749
Aditya Birla Sun Life Fixed Term Plan - Series RX (1200 days) - Regular Plan-Growth,12.3749
Aditya Birla Sun Life Fixed Term Plan - Series RY (1199 days) - Direct Plan-Growth,12.6837
Aditya Birla Sun Life Fixed Term Plan - Series RY (1199 days) - Regular Plan-Growth,12.6099
Aditya Birla Sun Life Fixed Term Plan - Series RY (1199 days) -Direct - Payout of IDCW,12.7174
Aditya Birla Sun Life Fixed Term Plan - Series RY (1199 days) -Regular - Payout of IDCW,12.6098
Aditya Birla Sun Life Fixed Term Plan - Series SA (1180 days) -Regular - Payout of IDCW,12.4712
Aditya Birla Sun Life Fixed Term Plan - Series SA (1180 days) - Direct - Payout of IDCW,12.541
Aditya Birla Sun Life Fixed Term Plan - Series SA (1180 days) - Direct Plan-Growth,12.5417
Aditya Birla Sun Life Fixed Term Plan - Series SA (1180 days) - Regular Plan-Growth,12.4709
Aditya Birla Sun Life Fixed Term Plan - Series SF (1161 days) - Direct Plan-Growth,12.5036
Aditya Birla Sun Life Fixed Term Plan - Series SF (1161 days) - Regular Plan-Growth,12.4419
Aditya Birla Sun Life Fixed Term Plan - Series SF (1161 days) -Direct - Payout of IDCW,12.5119
Aditya Birla Sun Life Fixed Term Plan - Series SF (1161 days) -Regular - Payout of IDCW,12.4408
Aditya Birla Sun Life Fixed Term Plan - Series SG (1155 days) - Direct - Payout of IDCW,12.5001
Aditya Birla Sun Life Fixed Term Plan - Series SG (1155 days) - Direct Plan - Growth,12.4998
Aditya Birla Sun Life Fixed Term Plan - Series SG (1155 days) - Regular - Payout of IDCW,12.4353
Aditya Birla Sun Life Fixed Term Plan - Series SG (1155 days) - Regular Plan - Growth,12.4353
Aditya Birla Sun Life Fixed Term Plan - Series SI (1141 days) - Direct Plan- Growth,12.46
Aditya Birla Sun Life Fixed Term Plan - Series SI (1141 days) - Regular Plan-Growth,12.3998
Aditya Birla Sun Life Fixed Term Plan - Series SI (1141 days) -Direct - Payout of IDCW,12.4647
Aditya Birla Sun Life Fixed Term Plan - Series SI (1141 days) -Regular - Payout of IDCW,12.3998
Aditya Birla Sun Life Fixed Term Plan - Series SJ (1135 days) - Direct Plan-Growth,12.4104
Aditya Birla Sun Life Fixed Term Plan - Series SJ (1135 days) - Regular Plan-Growth,12.3771
Aditya Birla Sun Life Fixed Term Plan - Series SJ (1135 days) -Direct - Payout of IDCW,12.4177
Aditya Birla Sun Life Fixed Term Plan - Series SJ (1135 days) -Regular - Payout of IDCW,12.3771
Aditya Birla Sun Life Fixed Term Plan - Series SK (1128 days) - Direct Plan-Growth,12.3063
Aditya Birla Sun Life Fixed Term Plan - Series SK (1128 days) - Regular Plan-Growth,12.2727
Aditya Birla Sun Life Fixed Term Plan - Series SK (1128 days) -Direct - Payout of IDCW,12.3158
Aditya Birla Sun Life Fixed Term Plan - Series SK (1128 days) -Regular - Payout of IDCW,12.2727
Aditya Birla Sun Life Fixed Term Plan - Series SL (1120 days) - Direct Plan-Growth,12.3086
